,node_role,betweenness,within_module_connectivity,within_module_degree,degree,among_module_connectivity,eigenvector_centrality,node_module_membership,modularity
paludibacter propionicigenes,peripheral_node,0.009644806193054536,0.23570226039551587,11,14,0.38265306122448983,0.24741394685489532,-0.6578722670152298,0
magnetospirillum sp.,connector_node,0.0,0,1,1,1.0,4.478598296298908e-14,-0.9794736470999365,7
rhodopseudomonas palustris,connector_node,0.0,0.0,2,2,1.0,4.5455585891859533e-11,0.5844850540111195,5
acetobacter spp.,connector_node,0.0003353454057679409,-0.10540925533894592,3,3,1.0,2.845463631344081e-08,0.46129642521220754,1
bacteroides spp.,connector_node,0.0,-1.414213562373095,1,1,1.0,2.450917291280725e-11,-0.5139429608063372,4
pleomorphomonas oryzae,connector_node,0.0,0,1,1,1.0,4.478598296298908e-14,0.9918517548567285,7
rhodoblastus acidophilus,connector_node,0.0,0.0,2,2,1.0,4.5455585891859533e-11,0.7660434022345083,5
spirochaeta spp.,peripheral_node,0.021325945271673124,0.7071067811865476,13,16,0.33984375,0.2773797579263636,-0.7821362548631633,0
citrobacter werkmanii,peripheral_node,0.024652606996431257,1.4142135623730951,16,17,0.11418685121107264,0.28557373265588404,-0.8533797420882563,0
pontibacter spp.,connector_node,0.0,-0.8432740427115677,2,2,1.0,2.4962823957647327e-08,0.6990641841329998,1
pontibacter sp.,connector_node,0.002347417840375587,0.6324555320336759,4,4,1.0,4.111280558553543e-08,0.538167227743272,1
ruminococcus spp.,peripheral_node,0.014847334986790669,0.9428090415820635,14,16,0.234375,0.27948202631744473,-0.7552129683274378,0
eubacterium sp.,peripheral_node,0.014889336016096578,-0.47140452079103173,8,9,0.2098765432098766,0.15853547184058764,-0.5557618463166207,0
desulfovibrio mexicanus,peripheral_node,0.009644806193054536,0.23570226039551587,11,14,0.38265306122448983,0.24741394685489532,-0.6617452660721721,0
ancalomicrobium spp.,peripheral_node,0.000395881784211764,-0.47140452079103173,8,8,0.0,0.1368977507324419,-0.7955887699578261,0
rhodocyclus tenuis,connector_node,0.0,0,1,1,1.0,4.478598296298908e-14,-0.6583757668799786,8
escherichia spp.,peripheral_node,0.03758342179870642,0.9428090415820635,14,16,0.234375,0.2687909333707749,-0.7341977318247985,0
rhodoplanes elegans,connector_node,0.0008048289738430583,1.414213562373095,3,3,1.0,5.318698488240296e-11,0.8701537537730432,5
propionicimonas paludicola,peripheral_node,0.025039591417140607,0.47140452079103173,12,12,0.0,0.13400409347867812,-0.8251576471935227,0
rhodopseudomonas spp.,connector_node,0.0008048289738430583,1.414213562373095,3,3,1.0,5.318698488240295e-11,-0.5639145329387969,4
pleomorphomonas spp.,peripheral_node,0.000505977038702805,0.23570226039551587,11,11,0.0,0.22000188616806343,0.69362828425403,0
caulobacter spp.,peripheral_node,0.0,-2.121320343559643,1,1,0.0,0.010324999628352122,0.613213516752825,0
barnesiella viscericola,connector_node,0.003085177733065057,0.6324555320336759,4,4,1.0,4.509018849254322e-08,0.5667987739018745,1
pontibacter salisaro,connector_node,0.0069081153588195846,2.1081851067789197,6,6,1.0,5.834775365467265e-08,0.3858688979629565,1
phaeospirillum sp.,connector_node,0.0,-0.8432740427115677,2,2,1.0,2.0205242616612254e-08,0.6288965451980039,1
enterobacter spp.,peripheral_node,0.022052450038036183,0.9428090415820635,14,14,0.0,0.19214373727898873,-0.9466546530771444,0
prolixibacter spp.,connector_node,0.0,0,1,1,1.0,4.478598296298908e-14,-0.5102246179053661,8
cloacibacterium normanense,peripheral_node,0.03190864695620998,-2.182820625326996,2,10,0.3599999999999999,0.1655726776562377,0.1059661224229156,3
clostridium sp.,peripheral_node,0.0151144198382691,0.47140452079103173,12,15,0.3599999999999999,0.2636343287415948,-0.7431683203109294,0
pleomorphomonas sp.,connector_node,0.0,0.0,2,2,1.0,4.5455585891859533e-11,-0.09542934865642819,4
citrobacter spp.,peripheral_node,0.011139797755725222,0.9428090415820635,14,15,0.12888888888888883,0.266194142995849,-0.8166306080494536,0
bradyrhizobium sp.,connector_node,0.0,0,1,1,1.0,4.478598296298908e-14,0.7365644393362989,9
acidovorax caeni,peripheral_node,0.010997125159766544,0.0,10,12,0.30555555555555547,0.21944553263927158,-0.6376642949761598,0
fibrobacter spp.,connector_node,0.019517102615694164,2.1081851067789197,6,6,1.0,5.202362314475195e-08,0.44192571990063256,1
bradyrhizobium yuanmingense,peripheral_node,0.0,-1.4142135623730951,4,4,0.0,0.01762147928768502,-0.5754407680295602,0
rhodopseudomonas sp.,connector_node,0.0,0,1,1,1.0,4.478598296298908e-14,0.9773153212487379,9
inquilinus spp.,connector_node,0.0,-0.10540925533894592,3,3,1.0,3.4650802294955587e-08,0.1787410804153461,1
dechloromonas agitata,peripheral_node,0.03130516377774863,1.4142135623730951,16,16,0.0,0.22674116687679854,-0.9376032954702966,0
acidovorax spp.,peripheral_node,0.0001916259461531091,-0.7071067811865476,7,7,0.0,0.11671891108852027,-0.9256498593977601,0
opitutus sp.,connector_node,0.0,-0.8432740427115677,2,2,1.0,4.411118935400091e-10,0.44633543372509443,1
clostridium spp.,peripheral_node,0.003420523138832998,-0.7071067811865476,7,7,0.0,0.05717364647877629,-0.7009609692388855,0
nitrospirillum azospirillum amazonense,connector_node,0.02035702857537089,0.8451542547285166,7,11,0.8677685950413223,0.10750984443975387,0.17463887202770775,2
acinetobacter junii,connector_node,0.05704252279447281,0.8451542547285166,7,15,0.7155555555555555,0.17831533822129192,0.05430028902577987,2
propionibacterium acnes,connector_node,0.0,0,2,2,1.0,1.9611508314194173e-11,-0.032498145931907495,6
brevundimonas sp.,connector_node,0.01599862112634398,1.2126781251816647,6,6,1.0,0.018684757279471036,-0.2739849090138468,3
escherichia vulneris,connector_node,0.0,-0.4850712500726656,4,4,1.0,0.003020728921563386,-0.23216581775669642,3
brevundimonas spp.,connector_node,0.0009615595574829235,0.3638034375544996,5,5,1.0,0.006840386480435189,-0.04127613824702912,3
vitis vinifera,connector_node,0.03967310418758235,0.3638034375544996,5,7,0.9183673469387755,0.05339516930932442,-0.10385276756177945,3
rhodobacter capsulatus,connector_node,0.0,0.1690308509457033,6,6,1.0,0.031834321928154864,-0.10747523854719673,2
rhizobium straminoryzae,peripheral_node,0.0,-2.121320343559643,1,1,0.0,0.012214790364081513,0.4226165015661271,0
pontibacter korlensis,connector_node,0.012072434607645875,-0.8432740427115677,2,2,1.0,3.846790178905487e-09,0.6454255490794404,1
bacteroides fragilis,connector_node,0.01448692152917505,-0.8432740427115677,2,2,1.0,1.403434108490631e-08,0.4229980839564661,1
rhizobium sp.,connector_node,0.0,0,2,2,1.0,1.9611508314194173e-11,-0.032498145931907495,6
enterobacter sp.,peripheral_node,0.003420523138832998,-0.7071067811865476,7,7,0.0,0.05717364647877629,-0.7009609692388855,0
gemmatimonas spp.,connector_node,0.0,0.1690308509457033,6,6,1.0,0.031834321928154864,-0.10747523854719673,2
eubacterium rectale,connector_node,0.0,-0.8432740427115677,2,2,1.0,4.411118935400091e-10,0.5632275246448029,1
citrobacter sp.,peripheral_node,0.009766878099752588,1.1785113019775793,15,16,0.12109375,0.2733209968297552,-0.8486648596950782,0
pseudomonas spp.,connector_node,0.0,0.0,2,2,1.0,4.5455585891859533e-11,0.0016176339554084256,4
hydrogenophaga spp.,peripheral_node,0.003420523138832998,-0.7071067811865476,7,7,0.0,0.05717364647877629,-0.7009609692388855,0
rhodovibrio spp.,peripheral_node,0.003420523138832998,-0.7071067811865476,7,7,0.0,0.05717364647877629,-0.7009609692388855,0
salinibacter spp.,connector_node,0.0,0.1690308509457033,6,6,1.0,0.031834321928154864,-0.10747523854719673,2
pantoea agglomerans,connector_node,0.008853118712273641,-0.10540925533894592,3,3,1.0,1.2175209739040083e-09,0.630602181776794,1
streptococcus sanguinis,connector_node,0.0,0.1690308509457033,6,6,1.0,0.031834321928154864,-0.10747523854719673,2
prevotella sp.,connector_node,0.0,0,2,2,1.0,1.9611508314194173e-11,-0.04908671726212127,6
thioalkalivibrio spp.,connector_node,0.0009615595574829235,0.3638034375544996,5,5,1.0,0.0068403864804351885,-0.04127613824702912,3
rhodoplanes spp.,connector_node,0.0,-1.414213562373095,1,1,1.0,2.4509172912807252e-11,0.7669829312228964,5
sphingobacterium spp.,connector_node,0.0,-2.53546276418555,2,2,1.0,0.02202252061006756,0.10063938990569007,2
phyllobacterium sp.,connector_node,0.0,-0.10540925533894592,3,3,1.0,3.4650802294955587e-08,0.1787410804153461,1
roseburia spp.,connector_node,0.0009615595574829235,0.3638034375544996,5,5,1.0,0.0068403864804351885,-0.04127613824702912,3
methylopila sp.,connector_node,0.0,0,1,1,1.0,4.478598296298908e-14,0.6235242343488864,10
acinetobacter lwoffii,connector_node,0.0,0.1690308509457033,6,6,1.0,0.031834321928154864,-0.10747523854719673,2
globicatella spp.,connector_node,0.0,0,1,1,1.0,4.478598296298908e-14,0.6235242343488864,10
