,node_module_membership,within_module_degree,betweenness,modularity,within_module_connectivity,among_module_connectivity,eigenvector_centrality,degree,node_role
paludibacter propionicigenes,-0.07794204479880842,1,0.006546546546546547,2,-1.819080844303033,1.0,0.0001112018771433835,2,connector_node
magnetospirillum sp.,-0.06894426905738431,7,0.008918918918918915,2,1.1091956367701419,1.0,0.0196069651278316,7,connector_node
rhodopseudomonas palustris,0.04846351795414012,4,0.0,2,-0.3549426037664456,1.0,0.016193628245009774,4,connector_node
acetobacter spp.,0.07444306854995243,4,0.22624624624624623,2,-0.3549426037664456,1.0,0.009732790777880404,5,connector_node
bacteroides spp.,0.2823358383417313,4,0.03561561561561559,1,-0.8423619247262304,1.0,0.00013053902220733535,5,connector_node
afipia sp.,0.009038885131946454,6,0.007297297297297297,2,0.6211495565912795,1.0,0.046788842787736894,6,connector_node
rhodoblastus acidophilus,-0.116740111547914,6,0.005045045045045047,2,0.6211495565912795,1.0,0.018136950779072406,6,connector_node
spirochaeta spp.,0.019303158455632487,5,0.02666666666666667,2,0.13310347641241693,1.0,0.009731426659030441,5,connector_node
citrobacter werkmanii,0.40199888480612656,2,0.0,1,-1.524273959028417,1.0,2.580479742753883e-05,2,connector_node
pontibacter spp.,-0.783774667377592,11,0.0409009009009009,0,1.2801128455372937,0.15972222222222232,0.30878194234523587,12,peripheral_node
pontibacter sp.,-0.7604287067577711,10,0.001981981981981982,0,1.0185844147285992,0.17355371900826455,0.3059551940052645,11,peripheral_node
ruminococcus spp.,0.394949979014898,2,0.21867867867867866,1,-1.524273959028417,1.0,0.0009975353241069723,3,connector_node
desulfovibrio mexicanus,0.4584692557515218,5,0.18033033033033039,1,-0.5014059075751371,1.0,0.00012608629929019985,5,connector_node
ancalomicrobium spp.,0.9589203448619865,1,0.0,8,0,1.0,1.394579758590906e-40,1,connector_node
rhodocyclus tenuis,0.04709141744160514,8,0.3332432432432434,2,1.5972417169490045,1.0,0.049010185219462724,9,connector_node
escherichia spp.,0.5922919293135542,1,0.0,1,-1.8652299761795101,1.0,2.56522785626818e-06,1,connector_node
rhodoplanes elegans,-0.001804764102313333,6,0.007297297297297297,2,0.6211495565912795,1.0,0.046788842787736894,6,connector_node
propionicimonas paludicola,0.5288623042066591,5,0.029639639639639656,1,-0.5014059075751371,1.0,4.232916350987828e-05,5,connector_node
rhodopseudomonas spp.,0.39850598000581344,2,0.15243243243243243,3,-0.2672612419124246,1.0,0.005005984032489625,3,connector_node
pleomorphomonas spp.,0.13473180659643,3,0.02774774774774775,3,1.0690449676496974,1.0,0.0005621694887147621,3,connector_node
opitutus terrae,0.6691140427534013,9,0.004234234234234233,1,0.8624181610292357,1.0,4.4435471027332004e-05,9,connector_node
barnesiella viscericola,0.24370597349612302,3,0.25531531531531537,2,-0.8429886839453081,0.38265306122448983,0.3188989395883246,14,peripheral_node
pontibacter salisaro,-0.7336353321112906,11,0.021801801801801805,0,1.2801128455372937,0.15972222222222232,0.30875350720508454,12,peripheral_node
rhodopseudomonas pangongensis,-0.7812568145753386,11,0.00738738738738739,0,1.2801128455372937,0.15972222222222232,0.31916624855592246,12,peripheral_node
enterobacter spp.,-0.43683614736638987,2,0.057297297297297295,3,-0.2672612419124246,1.0,5.722699606010229e-05,2,connector_node
cloacibacterium normanense,0.7261799486842889,10,0.14954954954954958,1,1.203374178180329,1.0,5.598569153974546e-05,10,connector_node
clostridium sp.,-0.6983755019603336,2,0.01981981981981982,0,-1.073643031740956,0.0,0.031139368736082633,2,peripheral_node
pleomorphomonas sp.,0.34824344212452146,4,0.10126126126126127,3,2.4053511772118195,1.0,0.0005674119167871158,4,connector_node
bradyrhizobium sp.,0.3534223368542874,2,0.03891891891891892,3,-0.2672612419124246,1.0,5.771690339360312e-06,2,connector_node
fibrobacter spp.,-0.7165412665917064,6,0.00030030030030030034,0,-0.027529308506178445,0.26530612244897966,0.20260675247721052,7,peripheral_node
chlorobium spp.,0.21220002249032296,2,0.014114114114114113,2,-1.3310347641241707,1.0,0.000982701146499622,2,connector_node
desulfovibrio desulfuricans,0.2916278190053547,1,0.0,7,0,1.0,1.394579758590906e-40,1,connector_node
bradyrhizobium yuanmingense,0.1363539922507353,1,0.0,0,-1.3351714625496505,0.0,0.0001825358469039083,1,peripheral_node
