,within_module_connectivity,degree,node_role,betweenness,modularity,eigenvector_centrality,node_module_membership,within_module_degree,among_module_connectivity
opitutus spp.,-0.14695468983270743,5,peripheral_node,0.02286954540749651,0,0.015293396580221282,-0.170235935229024,5,0.0
paludibacter propionicigenes,-0.46535651780357346,7,connector_node,0.002217669842901754,0,0.1288921167080315,0.33116808573795314,4,0.6734693877551021
magnetospirillum sp.,2.0818581059633545,12,peripheral_node,0.07392465248587982,0,0.1887712521470351,-0.03369969535446225,12,0.0
rhodopseudomonas palustris,0.1714471381381586,7,peripheral_node,0.004252635508583638,0,0.14964388698360342,0.2520123453132554,6,0.26530612244897966
acetobacter spp.,1.1266526220507567,9,peripheral_node,0.02657579980476708,0,0.1630616026429906,0.005501949903600147,9,0.0
bacteroides spp.,1.7634562779924887,17,peripheral_node,0.08952192298354672,0,0.3332237685584267,0.1148288259485508,11,0.5813148788927336
pleomorphomonas oryzae,-0.46535651780357346,5,peripheral_node,0.07510822510822511,0,0.04888894841692987,0.08952834851904576,4,0.3599999999999999
afipia sp.,-0.7837583457744395,5,connector_node,0.03804823891703651,0,0.06581285067106533,0.0809879246154591,3,0.64
rhodoblastus acidophilus,0.1714471381381586,6,peripheral_node,0.00585524679584591,0,0.09680144785791478,0.3137701141424601,6,0.0
spirochaeta spp.,-1.0,1,connector_node,0.0,7,0.00012773741516435122,0.8696091800733853,1,1.0
citrobacter werkmanii,-1.2403473458920844,5,connector_node,0.06019377447948876,3,0.10749675393664652,-0.20172419248909082,4,1.0
pontibacter spp.,-1.2403473458920844,4,connector_node,4.724111866969009e-05,3,0.09223408556242871,-0.22502234104469776,4,1.0
pontibacter sp.,0.0,7,connector_node,0.000752224392016277,3,0.17639607015800846,-0.1429937623724137,6,0.9795918367346939
ruminococcus spp.,0,3,connector_node,0.0,9,1.1007818960697996e-21,0.03385045217026687,3,1.0
eubacterium sp.,1.2403473458920844,13,connector_node,0.05150489011412229,3,0.28661602670780517,-0.09589997956095475,8,0.9053254437869822
ancalomicrobium spp.,-0.9851712491532487,3,connector_node,0.01566687280972995,1,0.008367499990131437,0.1649426951463473,3,1.0
rhodocyclus tenuis,0.8082507940798906,8,peripheral_node,0.08424137500996558,0,0.06561119972670999,0.029987613550494816,8,0.0
escherichia spp.,0.8082507940798906,9,peripheral_node,0.01994151996857553,0,0.1925700742123639,0.20631658215240997,8,0.2098765432098766
rhodoplanes elegans,0.9013268875231848,13,connector_node,0.12083797337160478,1,0.1442876251259285,0.0557126730747265,9,0.9940828402366864
propionicimonas paludicola,0.9847319278346619,5,connector_node,0.050995423831400336,2,0.0011368048593417134,-0.25794208670059293,4,0.96
rhodopseudomonas spp.,1.1266526220507567,11,peripheral_node,0.06651480452677161,0,0.17102151803936425,0.2671212617865163,9,0.3305785123966941
pleomorphomonas spp.,0.8082507940798906,9,peripheral_node,0.05613613836038427,0,0.13157051950914705,0.2486201483038748,8,0.2098765432098766
caulobacter spp.,1.2403473458920844,11,connector_node,0.03238561924778893,3,0.25477611735259537,-0.11775426788714682,8,0.9669421487603306
barnesiella viscericola,0.6201736729460422,10,connector_node,0.005499363358119513,3,0.23558753301292087,0.012677211829131218,7,0.91
pontibacter salisaro,1.0,3,connector_node,0.046176046176046176,7,0.011514178876685814,0.72008077272415,2,1.0
