,within_module_connectivity,degree,node_role,betweenness,modularity,eigenvector_centrality,node_module_membership,within_module_degree,among_module_connectivity
paludibacter propionicigenes,-1.819080844303033,2,connector_node,0.006546546546546547,2,0.0001112018771433835,-0.08056423606181977,1,1.0
magnetospirillum sp.,1.1091956367701419,7,connector_node,0.008918918918918915,2,0.0196069651278316,-0.07681577029084022,7,1.0
rhodopseudomonas palustris,-0.3549426037664456,4,connector_node,0.0,2,0.016193628245009774,0.06131145466274336,4,1.0
acetobacter spp.,-0.3549426037664456,5,connector_node,0.22624624624624623,2,0.009732790777880404,0.07934252928770928,4,1.0
bacteroides spp.,-0.8423619247262304,5,connector_node,0.03561561561561559,1,0.00013053902220733535,-0.14976860672348893,4,1.0
afipia sp.,0.6211495565912795,6,connector_node,0.007297297297297297,2,0.046788842787736894,0.01859622779248834,6,1.0
rhodoblastus acidophilus,0.6211495565912795,6,connector_node,0.005045045045045047,2,0.018136950779072406,-0.11267192252783549,6,1.0
spirochaeta spp.,0.13310347641241693,5,connector_node,0.02666666666666667,2,0.009731426659030441,0.01826247143778454,5,1.0
citrobacter werkmanii,-1.524273959028417,2,connector_node,0.0,1,2.580479742753883e-05,0.12721118469314632,2,1.0
pontibacter spp.,1.2801128455372937,12,peripheral_node,0.0409009009009009,0,0.30878194234523587,0.557280631894671,11,0.15972222222222232
pontibacter sp.,1.0185844147285992,11,peripheral_node,0.001981981981981982,0,0.3059551940052645,0.592577168930806,10,0.17355371900826455
ruminococcus spp.,-1.524273959028417,3,connector_node,0.21867867867867866,1,0.0009975353241069723,0.1963958166282848,2,1.0
desulfovibrio mexicanus,-0.5014059075751371,5,connector_node,0.18033033033033039,1,0.00012608629929019985,0.18210443690993278,5,1.0
ancalomicrobium spp.,0,1,connector_node,0.0,8,1.394579758590906e-40,0.9589203448619865,1,1.0
rhodocyclus tenuis,1.5972417169490045,9,connector_node,0.3332432432432434,2,0.049010185219462724,0.05631316090403111,8,1.0
escherichia spp.,-1.8652299761795101,1,connector_node,0.0,1,2.56522785626818e-06,0.412449684054331,1,1.0
rhodoplanes elegans,0.6211495565912795,6,connector_node,0.007297297297297297,2,0.046788842787736894,0.008636932385797883,6,1.0
propionicimonas paludicola,-0.5014059075751371,5,connector_node,0.029639639639639656,1,4.232916350987828e-05,0.12174736797875466,5,1.0
rhodopseudomonas spp.,-0.2672612419124246,3,connector_node,0.15243243243243243,3,0.005005984032489625,0.08902719111539178,2,1.0
pleomorphomonas spp.,1.0690449676496974,3,connector_node,0.02774774774774775,3,0.0005621694887147621,-0.017247280709131584,3,1.0
opitutus terrae,0.8624181610292357,9,connector_node,0.004234234234234233,1,4.4435471027332004e-05,0.36868586984777135,9,1.0
barnesiella viscericola,-0.8429886839453081,14,peripheral_node,0.25531531531531537,2,0.3188989395883246,0.25763615056269423,3,0.38265306122448983
pontibacter salisaro,1.2801128455372937,12,peripheral_node,0.021801801801801805,0,0.30875350720508454,0.603090143439959,11,0.15972222222222232
rhodopseudomonas pangongensis,1.2801128455372937,12,peripheral_node,0.00738738738738739,0,0.31916624855592246,0.4757698674771487,11,0.15972222222222232
enterobacter spp.,-0.2672612419124246,2,connector_node,0.057297297297297295,3,5.722699606010229e-05,-0.07908364923210473,2,1.0
cloacibacterium normanense,1.203374178180329,10,connector_node,0.14954954954954958,1,5.598569153974546e-05,0.3644023031995351,10,1.0
clostridium sp.,-1.073643031740956,2,peripheral_node,0.01981981981981982,0,0.031139368736082633,0.09060324217256059,2,0.0
pleomorphomonas sp.,2.4053511772118195,4,connector_node,0.10126126126126127,3,0.0005674119167871158,0.24294533711613775,4,1.0
bradyrhizobium sp.,-0.2672612419124246,2,connector_node,0.03891891891891892,3,5.771690339360312e-06,0.21006919921651945,2,1.0
fibrobacter spp.,-0.027529308506178445,7,peripheral_node,0.00030030030030030034,0,0.20260675247721052,0.5058342794647057,6,0.26530612244897966
chlorobium spp.,-1.3310347641241707,2,connector_node,0.014114114114114113,2,0.000982701146499622,0.20855160947035875,2,1.0
desulfovibrio desulfuricans,0,1,connector_node,0.0,7,1.394579758590906e-40,0.2916278190053547,1,1.0
bradyrhizobium yuanmingense,-1.3351714625496505,1,peripheral_node,0.0,0,0.0001825358469039083,-0.04475591578257965,1,0.0
bradyrhizobium spp.,-0.28905773931487283,5,peripheral_node,0.0,0,0.14553255174515392,0.5615943054203559,5,0.0
rhodopseudomonas sp.,-1.3351714625496505,1,peripheral_node,0.0,0,0.001810048684066397,-0.3092633354194846,1,0.0
inquilinus spp.,-0.2672612419124246,2,connector_node,0.010450450450450451,3,5.7797803605091246e-05,0.5286001936906487,2,1.0
dechloromonas agitata,-0.1604498904240439,6,connector_node,0.0,1,2.940610041706091e-05,0.4472662293649004,6,1.0
acidovorax spp.,-0.5014059075751371,5,connector_node,0.01981981981981982,1,2.2229180088546974e-05,0.4981010025947356,5,1.0
rhodocyclus spp.,-0.2672612419124246,2,connector_node,0.00036036036036036037,3,1.1488878254380654e-05,0.6803482631218674,2,1.0
clostridium spp.,0,1,connector_node,0.0,7,1.394579758590906e-40,0.2916278190053547,1,1.0
acinetobacter junii,0.8624181610292357,9,connector_node,0.004234234234234233,1,4.4435471027332004e-05,0.36868586984777135,9,1.0
brevundimonas sp.,0,1,connector_node,0.0,8,1.394579758590906e-40,0.950649098024733,1,1.0
rhizobium petrolearium,-1.3351714625496505,1,peripheral_node,0.0,0,0.0031089725233639427,0.03670291800651999,1,0.0
escherichia vulneris,-1.073643031740956,2,peripheral_node,0.019819819819819822,0,0.0018282731682164144,-0.06319610387321276,2,0.0
brevundimonas spp.,-0.2672612419124246,2,connector_node,0.01981981981981982,3,5.820510740439054e-07,0.4294386579820198,2,1.0
pseudomonas veronii,0.7570559839199048,10,peripheral_node,0.0032432432432432413,0,0.2846207762491342,0.5933290748821495,9,0.18999999999999995
stenotrophomonas spp.,0,6,connector_node,0.0,4,9.551018977241063e-12,-0.955501220367199,6,1.0
zoogloea sp.,0,2,connector_node,0.0,6,3.0010973777129696e-31,-0.4708364305366588,2,1.0
rhizobium straminoryzae,1.4142135623730951,2,connector_node,0.00036036036036036037,5,3.620016914748059e-36,-0.3737150778712228,2,1.0
pontibacter korlensis,0.7570559839199048,10,peripheral_node,0.00024024024024024023,0,0.2898018190665534,0.445901033433744,9,0.18999999999999995
bacteroides fragilis,-0.027529308506178445,7,peripheral_node,0.07495495495495495,0,0.1779450582498347,0.5357803129393662,6,0.26530612244897966
sphingobium yanoikuyae,0.8624181610292357,9,connector_node,0.0069189189189189145,1,4.422851826885493e-05,0.6056885659284957,9,1.0
rhodothermus spp.,-1.6035674514745466,1,connector_node,0.0,3,5.811234053771569e-08,0.4209680774347748,1,1.0
rhodovibrio sodomensis,0,6,connector_node,0.0,4,9.551018977241063e-12,-0.955501220367199,6,1.0
rhizobium sp.,0.7570559839199048,10,peripheral_node,0.0032432432432432413,0,0.2846207762491342,0.5933290748821495,9,0.18999999999999995
gemmatimonas spp.,0,6,connector_node,0.0,4,9.551018977241063e-12,-0.955501220367199,6,1.0
bacteroides caccae,-0.7071067811865474,1,connector_node,0.0,5,2.5597385084283566e-36,-0.4055191192330235,1,1.0
citrobacter sp.,-0.8121146009322617,3,peripheral_node,0.05801801801801802,0,0.018129389355299116,0.14560903621640528,3,0.0
pseudochrobactrum kiredjianiae,-1.3351714625496505,1,peripheral_node,0.0,0,0.030826128146820442,0.6064960925240943,1,0.0
steroidobacter spp.,0.8624181610292357,9,connector_node,0.0069189189189189145,1,4.422851826885493e-05,0.6056885659284957,9,1.0
salinibacter spp.,0,6,connector_node,0.0,4,9.551018977241063e-12,-0.955501220367199,6,1.0
streptococcus sanguinis,-0.1604498904240439,6,connector_node,0.0,1,2.940610041706091e-05,0.4472662293649004,6,1.0
porphyromonas spp.,0,6,connector_node,0.0,4,9.551018977241063e-12,-0.955501220367199,6,1.0
sphingobacterium spp.,-0.2672612419124246,2,connector_node,0.009009009009009009,3,5.727439637657752e-05,0.3970744192986363,2,1.0
hartmannibacter stappia sp.,0.7570559839199048,10,peripheral_node,0.0032432432432432413,0,0.2846207762491342,0.5933290748821495,9,0.18999999999999995
aquabacterium spp.,0.8624181610292357,9,connector_node,0.0069189189189189145,1,4.422851826885493e-05,0.6056885659284957,9,1.0
staphylococcus aureus,0,6,connector_node,0.0,4,9.551018977241063e-12,-0.955501220367199,6,1.0
roseburia spp.,0.7570559839199048,10,peripheral_node,0.0032432432432432413,0,0.2846207762491342,0.5933290748821495,9,0.18999999999999995
paenibacillus spp.,0,1,connector_node,0.0,9,1.394579758590906e-40,0.07531147131239052,1,1.0
elizabethkingia meningoseptica,1.203374178180329,10,connector_node,0.009081081081081077,1,4.6527012353812984e-05,0.6794115348018103,10,1.0
methylopila sp.,-0.7071067811865474,1,connector_node,0.0,5,2.5597385084283566e-36,-0.6285175492804455,1,1.0
acinetobacter lwoffii,0,6,connector_node,0.0,4,9.551018977241063e-12,-0.955501220367199,6,1.0
parabacteroides spp.,0,1,connector_node,0.0,9,1.394579758590906e-40,0.07531147131239052,1,1.0
aeromonas spp.,0,2,connector_node,0.0,6,3.0010973777129696e-31,-0.4708364305366588,2,1.0
corynebacterium tuberculostearicum,0.8624181610292357,9,connector_node,0.0069189189189189145,1,4.422851826885493e-05,0.6056885659284957,9,1.0
bacillus thermoamylovorans,0,2,connector_node,0.0,6,3.0010973777129696e-31,-0.4708364305366588,2,1.0
