,node_role,betweenness,within_module_connectivity,within_module_degree,degree,among_module_connectivity,eigenvector_centrality,node_module_membership,modularity
opitutus spp.,connector_node,0.05297022196884512,0.0,3,6,0.75,0.00033653872262733346,-0.457045392318131,3
paludibacter propionicigenes,connector_node,0.013831304163652717,-2.0,1,2,1.0,0.00030470052325675144,0.8216423000060757,3
magnetospirillum sp.,connector_node,0.0481084573858667,-0.7285990293861764,11,19,0.9002770083102494,0.09362678033742074,0.5099699945787615,1
rhodopseudomonas palustris,connector_node,0.06353669994679206,-0.983212982108873,8,15,0.7155555555555555,0.017559445290566397,-0.027517854632508745,0
acetobacter spp.,connector_node,0.02022703011533886,-1.5826983700541821,4,7,0.9183673469387755,0.02026857349264109,-0.2652116540538833,1
bacteroides spp.,peripheral_node,0.08535349180752298,0.7871556315097822,19,23,0.3175803402646503,0.025876574138939113,-0.43166891577792105,0
pleomorphomonas oryzae,connector_node,0.13433366948689135,0.24751450280583023,19,28,0.9681122448979592,0.18499482679045992,-0.4939857021792936,1
afipia sp.,peripheral_node,0.011012915341010239,0.9480982327478418,20,20,0.0,0.01554804377887,-0.4529923818879128,0
rhodoblastus acidophilus,peripheral_node,0.028007915028573527,0.14338522655754393,15,20,0.4375,0.03586879990760125,-0.06635496268418256,0
spirochaeta spp.,connector_node,0.0,0,5,6,0.9722222222222222,0.0011994121315365147,0.1815554223548555,4
citrobacter werkmanii,peripheral_node,0.007045483761646785,0.14338522655754393,15,15,0.0,0.008258181704593394,-0.538213259177707,0
pontibacter spp.,connector_node,0.030368515797760336,0.41812100500354527,7,9,1.0,0.006549396846943896,-0.4954479030729381,2
pontibacter sp.,connector_node,0.0029830591757871792,0.9198662110077998,8,9,1.0,0.007478788434157582,-0.5165106399935412,2
ruminococcus spp.,connector_node,0.007472510918494453,0,5,7,0.9183673469387755,0.0012311527414300624,0.3759016876640131,4
eubacterium sp.,peripheral_node,0.020783637572378368,1.1090408339859013,21,21,0.0,0.01095961716418968,0.6376117744686773,0
