,node_role,betweenness,within_module_connectivity,within_module_degree,degree,among_module_connectivity,eigenvector_centrality,node_module_membership,modularity
opitutus spp.,connector_node,0.15329085612189258,0,5,8,0.9375,0.004271223183316207,0.7363973672860787,5
magnetospirillum sp.,peripheral_node,5.065927605610145e-05,-1.6979401153275124,4,4,0.0,0.01616804653733907,0.11740607686065958,0
rhodopseudomonas palustris,peripheral_node,0.06898765284138073,-1.2153214778959198,9,11,0.3305785123966941,0.045034095631358004,0.40115955682138976,0
acetobacter spp.,peripheral_node,0.011082468983123568,0.8116767993167696,30,30,0.0,0.18506164474996423,0.12142802567476345,0
bacteroides spp.,connector_node,0.019336354635131767,0.4417261042993863,4,6,1.0,0.0001754365967612421,0.24962415464078924,4
pleomorphomonas oryzae,connector_node,0.17085478449942987,-1.729090465633706,7,9,1.0,0.00020474092009374,0.19297729557408316,1
afipia sp.,peripheral_node,0.00106386670792218,0.7151530718304511,29,29,0.0,0.18908527746388776,0.154116926419534,0
rhodoblastus acidophilus,connector_node,0.0,0,1,1,1.0,3.63517669453447e-37,0.70154345170529,8
spirochaeta spp.,connector_node,0.051689623378070905,0.055727821257535295,5,6,0.9722222222222222,0.00011640573260465058,-0.28207284833385093,2
citrobacter werkmanii,connector_node,0.0,-1.877335943272391,1,1,1.0,2.9323556369171487e-06,-0.01504705817143562,4
pontibacter spp.,peripheral_node,0.0074536708291696036,0.8116767993167696,30,30,0.0,0.18161803588410336,-0.08781295182134267,0
pontibacter sp.,peripheral_node,0.029172246482554152,1.0047242542894068,32,32,0.0,0.17373430296002484,-0.018114097100313392,0
ruminococcus spp.,connector_node,0.004075921165885226,0.4086706892219254,6,6,1.0,1.4885664991139737e-05,-0.5629324508187632,2
eubacterium sp.,connector_node,0.004658185121848646,0.8842579905683778,23,23,1.0,2.0873512580720346e-05,-0.5468811954343172,1
desulfovibrio mexicanus,connector_node,0.0004299153647172063,0.055727821257535295,5,5,1.0,6.3233769938406524e-06,-0.2534838736059069,2
ancalomicrobium spp.,peripheral_node,0.003923046898184791,0.4255818893714955,26,26,0.0,0.16684373924385187,0.07910172481161104,0
rhodocyclus tenuis,peripheral_node,0.00032276811959351643,-1.6979401153275124,4,4,0.0,0.007544607679449951,-0.04264543757755244,0
escherichia spp.,peripheral_node,0.05717714229416125,-1.8909875703001495,2,3,0.5555555555555556,0.003119712182611567,-0.34003712266905367,0
rhodoplanes elegans,peripheral_node,0.005016011523864561,0.6186293443441325,28,29,0.06777645659928644,0.18599171084775726,0.02385897916580078,0
propionicimonas paludicola,connector_node,0.09842417758331032,-1.356043650600025,1,2,0.75,0.0065407126274756025,-0.5300174049248975,2
rhodopseudomonas spp.,peripheral_node,0.015062925150681496,0.522105616857814,27,27,0.0,0.1590884191937229,-0.05132463405371528,0
pleomorphomonas spp.,peripheral_node,0.0028402133081858903,0.8116767993167696,30,30,0.0,0.19175022021167187,0.07680829375202815,0
caulobacter spp.,connector_node,0.007248443240056662,0.3942551550304871,20,20,1.0,2.0593413115668116e-05,-0.45283160862523236,1
barnesiella viscericola,peripheral_node,0.0028302506765795266,-1.601416387841194,5,5,0.0,0.01638726955710613,0.2178513608474688,0
pontibacter salisaro,connector_node,0.1435315603879125,0.4086706892219254,6,6,1.0,0.0002421441418645629,-0.6560021717023726,2
phaeospirillum sp.,connector_node,0.0033702016062730996,0.5575894335431173,21,21,1.0,1.982481523824888e-05,-0.6661379633798689,1
rhodopseudomonas pangongensis,connector_node,0.0033702016062730996,0.5575894335431173,21,21,1.0,1.982481523824888e-05,-0.5784853612209923,1
