,taxon_id,treatment_1,treatment_2,log2_median_ratio,median_diff,mean_diff,wilcox_p_value,otu_id,kingdom,phylum,class,order,family,genus,species
1,ad,stable C,stable M,-2.45863489432554,10.2288985338819,11.3241535246071,0.0283449883449883,NA,NA,NA,NA,NA,NA,NA,NA
2,ef,stable C,stable M,-1.87700982795974,-13.0825505279791,-17.9598543210418,0.0283449883449883,NA,NA,NA,NA,NA,NA,NA,NA
3,ho,stable C,stable M,-1.87700982795974,-13.0825505279791,-17.9598543210418,0.0283449883449883,OTU_323,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,rhodoblastus,rhodoblastus acidophilus
4,ho,stable C,stable M,-1.87700982795974,-13.0825505279791,-17.9598543210418,0.0283449883449883,OTU_71,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,rhodoblastus,rhodoblastus acidophilus
5,ho,stable C,stable M,-1.87700982795974,-13.0825505279791,-17.9598543210418,0.0283449883449883,OTU_89,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,rhodoblastus,rhodoblastus acidophilus
6,ho,stable C,stable M,-1.87700982795974,-13.0825505279791,-17.9598543210418,0.0283449883449883,OTU_335,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,rhodoblastus,rhodoblastus acidophilus
7,ho,stable C,stable M,-1.87700982795974,-13.0825505279791,-17.9598543210418,0.0283449883449883,OTU_370,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,rhodoblastus,rhodoblastus acidophilus
8,ho,stable C,stable M,-1.87700982795974,-13.0825505279791,-17.9598543210418,0.0283449883449883,OTU_429,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,rhodoblastus,rhodoblastus acidophilus
9,ho,stable C,stable M,-1.87700982795974,-13.0825505279791,-17.9598543210418,0.0283449883449883,OTU_104,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,rhodoblastus,rhodoblastus acidophilus
10,ho,stable C,stable M,-1.87700982795974,-13.0825505279791,-17.9598543210418,0.0283449883449883,OTU_600,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,rhodoblastus,rhodoblastus acidophilus
11,ho,stable C,stable M,-1.87700982795974,-13.0825505279791,-17.9598543210418,0.0283449883449883,OTU_5,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,rhodoblastus,rhodoblastus acidophilus
12,ho,stable C,stable M,-1.87700982795974,-13.0825505279791,-17.9598543210418,0.0283449883449883,OTU_415,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,rhodoblastus,rhodoblastus acidophilus
13,ho,stable C,stable M,-1.87700982795974,-13.0825505279791,-17.9598543210418,0.0283449883449883,OTU_213,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,rhodoblastus,rhodoblastus acidophilus
14,ho,stable C,stable M,-1.87700982795974,-13.0825505279791,-17.9598543210418,0.0283449883449883,OTU_378,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,rhodoblastus,rhodoblastus acidophilus
15,ho,stable C,stable M,-1.87700982795974,-13.0825505279791,-17.9598543210418,0.0283449883449883,OTU_430,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,rhodoblastus,rhodoblastus acidophilus
16,ho,stable C,stable M,-1.87700982795974,-13.0825505279791,-17.9598543210418,0.0283449883449883,OTU_615,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,rhodoblastus,rhodoblastus acidophilus
17,ho,stable C,stable M,-1.87700982795974,-13.0825505279791,-17.9598543210418,0.0283449883449883,OTU_279,bacteria,proteobacteria,alphaproteobacteria,rhizobiales,bradyrhizobiaceae,rhodoblastus,rhodoblastus acidophilus
